task_num,trial_num,rotation_angle,targetangle_deg,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px,ppt,stratuse,exp,angular_dev
7,2,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-13.2,11.345,-13.2,11.345,11_abruptExp,0,abruptExp,-14.0775570152291
7,3,0,45,0,-10.691,21.599,21.599,1.5513e+12,12.054,16.745,12.054,16.745,11_abruptExp,0,abruptExp,21.2817261576618
7,4,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-1.6364,17.4,-1.6364,17.4,11_abruptExp,0,abruptExp,3.33391381496644
7,5,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-9.6545,9.5454,-9.6545,9.5454,11_abruptExp,0,abruptExp,-19.4948512041281
7,6,0,45,0,-10.691,21.599,21.599,1.5513e+12,12.764,18.273,12.764,18.273,11_abruptExp,0,abruptExp,21.2176326649946
7,7,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-14.073,12.709,-14.073,12.709,11_abruptExp,0,abruptExp,-13.97686738696
7,8,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-1.6909,14.836,-1.6909,14.836,11_abruptExp,0,abruptExp,3.78971716592717
7,9,0,45,0,-10.691,21.599,21.599,1.5513e+12,11.509,14.782,11.509,14.782,11_abruptExp,0,abruptExp,20.6859897103222
11,1,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.21818,18.491,-0.21818,18.491,11_abruptExp,0,abruptExp,0.428365439551342
11,2,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-9.9272,7.3636,-9.9272,7.3636,11_abruptExp,0,abruptExp,-16.1961018593788
11,3,0,45,0,-10.691,21.599,21.599,1.5513e+12,11.291,14.345,11.291,14.345,11_abruptExp,0,abruptExp,20.7250741072946
11,4,0,45,0,-10.691,21.599,21.599,1.5513e+12,8.7817,13.582,8.7817,13.582,11_abruptExp,0,abruptExp,25.1104426179664
11,5,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,0.10909,14.782,0.10909,14.782,11_abruptExp,0,abruptExp,-0.245371898709735
